Time,Ground Truth,Estimation
0,300,256
1,300,256
2,300,512
3,300,256
4,300,256
5,300,256
6,300,256
7,300,512
8,300,512
9,300,512
10,300,256
11,300,256
12,300,256
13,300,256
14,300,256
15,300,256
16,300,256
17,300,256
18,300,256
19,300,256
20,300,512
21,300,256
22,300,256
23,300,512
24,300,256
25,300,256
26,300,256
27,300,256
28,300,256
29,300,256
30,300,256
31,300,256
32,300,256
33,300,256
34,300,256
35,300,512
36,300,512
37,300,512
38,300,256
39,300,256
40,300,256
41,300,256
42,300,256
43,300,256
44,300,256
45,300,256
46,300,256
47,300,256
48,300,256
49,300,256
50,300,256
51,300,256
52,300,256
53,300,256
54,300,256
55,300,256
56,300,256
57,300,256
58,300,256
59,300,256
60,300,256
61,300,256
62,300,256
63,300,256
64,300,256
65,300,256
66,300,256
67,300,256
68,300,256
69,300,256
70,300,256
71,300,256
72,300,256
73,300,512
74,300,256
75,300,256
76,300,256
77,300,256
78,300,256
79,300,256
80,300,256
81,300,512
82,300,256
83,300,256
84,300,256
85,300,256
86,300,512
87,300,256
88,300,256
89,300,256
90,300,512
91,300,512
92,300,512
93,299,256
94,300,512
95,300,512
96,300,256
97,300,256
98,300,256
99,300,256
100,300,256
101,300,256
102,300,256
103,300,256
104,300,256
105,300,256
106,299,512
107,300,256
108,299,256
109,300,256
110,300,256
111,300,256
112,300,512
113,300,256
114,300,256
115,300,256
116,300,256
117,300,256
118,300,512
119,300,256
120,300,256
121,300,256
122,300,512
123,300,256
124,299,256
125,300,256
126,300,256
127,300,512
128,300,256
129,300,256
130,300,256
131,300,256
132,300,256
133,300,256
134,299,512
135,300,256
136,300,256
137,300,256
138,300,256
139,300,256
140,300,256
141,300,256
142,300,256
143,300,256
144,300,256
145,300,256
146,300,512
147,300,256
148,300,512
149,300,256
150,300,256
151,300,256
152,300,256
153,300,256
154,300,256
155,300,512
156,300,256
157,300,512
158,300,512
159,300,256
160,300,256
161,300,256
162,300,256
163,300,256
164,300,256
165,300,256
166,300,256
167,300,256
168,300,512
169,300,256
170,300,256
171,300,256
172,300,256
173,300,256
174,300,256
175,300,512
176,300,256
177,300,512
178,300,256
179,300,256
180,300,256
181,300,512
182,300,256
183,300,256
184,300,512
185,300,256
186,300,256
187,300,256
188,300,256
189,300,256
190,300,256
191,300,256
192,300,256
193,300,512
194,300,256
195,300,256
196,300,256
197,300,256
198,300,256
199,300,512
200,300,512
201,300,256
202,300,256
203,300,512
204,300,256
205,300,256
206,300,256
207,300,256
208,300,256
209,300,256
210,300,256
211,300,256
212,300,256
213,300,256
214,300,256
215,299,256
216,300,256
217,300,256
218,300,256
219,300,256
220,300,256
221,300,256
222,300,256
223,300,256
224,300,512
225,300,256
226,300,256
227,300,256
228,300,512
229,300,256
230,300,256
231,300,256
232,300,256
233,300,512
234,300,512
235,300,256
236,300,256
237,300,256
238,300,256
239,300,256
240,300,256
241,300,512
242,300,256
243,300,256
244,300,256
245,300,512
246,300,512
247,300,256
248,300,256
249,300,256
250,300,256
251,300,256
252,300,256
253,300,256
254,300,512
255,300,256
256,300,256
257,300,256
258,300,256
259,300,512
260,300,256
261,300,256
262,300,256
263,300,256
264,300,256
265,300,256
266,300,256
267,300,256
268,300,256
269,300,256
270,300,256
271,300,256
272,300,256
273,300,256
274,300,256
275,300,512
276,299,256
277,300,256
278,300,256
279,300,256
280,300,256
281,300,512
282,300,256
283,300,256
284,300,256
285,300,512
286,300,256
287,300,256
288,300,256
289,300,256
290,300,256
291,300,512
292,300,256
293,300,256
294,300,256
295,300,256
296,300,256
297,300,256
298,300,256
299,300,256
